title,heading,content,tokens
it,วิธีการ Share Conten ใน Webex Meeting,"1. แตะเมนู Share ด้านล่าง 
2. ด้านซ้ายมือเลือก Share",100
it,เข้า utcc plus ไม่ได้,"1. ทดสอบเข้าใช้งาน mail มหาวิทยาลัย ถ้าเข้า mail ไม่ได้ให้ติดต่อที่สำนักบริการคอมพิวเตอร์ 
2. ทดสอบเข้าใช้งาน mail มหาวิทยาลัยได้ ให้เข้าใช้งานระบบ utcc plus ถ้าเข้าไม่ได้ให้ติดต่อสำนักบริการคอมพิวเตอร์
3. ติดต่อสำนักบริการคอมพิวเตอร์",100
it,ไม่สามารถ Login เข้าใช้งาน MS Teams,"1. นักศึกษาลองเข้าเมล์ https://mail.office365.com ผ่านเครื่องคอมพิวเตอร์ 
2. login โดยใช้ Username : รหัสนักศึกษา@live4.utcc.ac.th
3. Password : Id ตามด้วยเลขบัตรประชาชน 13 หลัก
(ไอใหญ่ ดีเล็ก ตามด้วยเลขบัตรประชาชน)
4 พอเข้าได้แล้วจะมีปุ่ม 9จุด ทางซ้ายบน
5 กดเข้าไป แล้วกดเลือก Icon MS Teams",100
it,เปลี่ยนรหัสแล้วเข้า mail ไม่ได้,"1. หลังจากเปลี่ยน Password แล้ว นักศึกษารอประมาณ 10 นาที แล้วทดสอบเข้าใช้งานอีกครั้ง 
2. ถ้าไม่ได้ให้ติดต่อสำนักบริการคอมพิวเตอร์",100
student_activity,สนามกีฬาเปิดมั้ย,"1.เป็นไปตามมาตราการของ สบค.
2.ในช่วงเวลาที่สถานการณ์ปกติ
จะเปิด จ-ศ 8.00 - 21.00 อา 9.00 - 18.00",100
student_activity,ฟิตเนสนักศึกษา/ห้องกายบริหาร เปิดไหม,"1.เป็นไปตามมาตราการของ สบค.
2.ในช่วงเวลาที่สถานการณ์ปกติ
จะเปิด จ-ศ 8.00 - 23.00 อา 9.00 - 18.00",100
student_activity,สถานประกอบการที่นักศึกษาจะไปปฏิบัติงานสหกิจศึกษานั้นมหาวิทยาลัยหาให้ หรือนักศึกษาต้องหาสถานประกอบการเอง,1.เลือกสถานประกอบการที่มหาวิทยาลัยหาให้ 2. นักศึกษาสามารถเสนอสถานประกอบการได้เอง โดยทั้ง 2 กรณี ต้องผ่านความเห็นชอบจาก คณะ/สาขาวิชา,100
student_activity,ฟิตเนสนักศึกษา/ห้องกายบริหาร สำหรับนักศึกษา มกค.มีค่าบริการมั้ย,120 บาท ต่อวัน จะเล่นกีฬาก็ได้,100
student_activity,ผลการเรียนเฉลี่ยเท่าไหร่ ถึงสามารถเลือกแผนการเรียนสหกิจศึกษาได้,2.50 ขึ้นไป หรือเป็นไปตามที่ คณะ/สาขาวิชา กำหนด,100
ipad,อัพเกรด อัพสเปค ไอแพดได้ไหม,"iPad ที่มหาวิทยาลัยมอบให้ รุ่น Gen8 32 GB+WiFi พร้อมปากกาแบรนด์อื่น
สอบถามการอัพเกรด ติดต่อที่นี่นะ https://www.facebook.com/utccipad
อัพเกรดข้ามรุ่นไม่ได้ค่ะ",100
it,"Sign in ด้วย UTCC Email เข้า Webex Meetingไม่ได้
  กรณีที่ 1 ที่ยังไม่เคยลงทะเบียนสมัครเป็นสมาชิก 
  กรณีที่ 2 ลืมรหัสผ่าน","กรณี ที่ยังไม่เคยลงทะเบียนสมัครเป็นสมาชิก โดยคลิกเลือกที่ Sign up บน  Webex Meeting App
กรณี ที่ใส่รหัสผ่านไม่ถูกต้อง หรือจำไม่ได้ ให้ แตะ Forgot password?",100
it,เข้าใช้งาน wifi ไม่ได้,"กรณีเข้าใช้งาน Wifi ครั้งแรก
1. เลือกใช้งาน UTCC-Mobile
2. ใส่ Username (โดยไม่ต้องใส่ @live4.utcc.ac.th) และ Password

กรณีเคยเข้าใช้งาน Wifi แล้ว 
ทดสอบเข้าใช้งาน mail มหาวิทยาลัย ถ้าเข้า mail ไม่ได้ให้ติดต่อสำนักบริการคอมพิวเตอร์",100
student_activity,ยืมอุปกรณ์กีฬาได้ที่ไหน,กองการกีฬ่า ตั้งอยู่ อาคาร 9 ชั้น 8 (ดาดฟ้า),100
ipad,กู้ กยศ/กรอ จะได้iPadเมื่อไหร่?,"กองทุน (กรอ/กยศ) ต้องเซ็นสัญญาและผ่านการอนุมัติเงินกู้จากรัฐบาลก่อนนะ หรือไม่ก็ชำระค่าเทอม 15,000 บาท และรอคิวรับ SMS ค่ะ ติดต่อชำระค่าเทอมที่ศูนย์รับสมัครนักศึกษา อาคาร 24 ชั้น 2 โทร 026976767-8",100
student_activity,ใครเป็นผู้ประเมินผลการไปปฏิบัติงานสหกิจศึกษา,การประเมินผลการฝึก ประกอบด้วย 3 ส่วน คือ สถานประกอบการ อาจารย์ที่ปรึกษาสหกิจศึกษา และงานสหกิจศึกษา,100
student_activity,การไปปฏิบัติงานสหกิจศึกษาไปได้ตลอดปีการศึกษาหรือไม่,การไปปฏิบัติสหกิจศึกษาสามารถไปปฏิบัติงานได้ในภาคต้น และภาคปลาย เท่านั้น ไม่มีการไปปฏิบัติสหกิจศึกษาในภาคฤดูร้อน,100
it,กู้ กยศ/กรอ จะได้ iPad เมื่อไหร่?,"กู้ กยศ/กรอ ต้องเซ็นสัญญาและผ่านการอนุมัติเงินกู้จากรัฐบาลก่อน จึงจะมีสิทธิ์รับ iPad ได้ หรือชำระค่าเทอมตามเงื่อนไขของ มกค (15,000 บาท) และรอคิวรับ SMS ค่ะ *ติดต่อชำระค่าเทอมที่ศูนย์รับสมัครนักศึกษา โทร. 026976767-8 หรือ @utcccare",100
registrar,จะรับไอแพดต้องทำอย่างไรบ้างค่ะ,"เกณฑ์การรับไอแพด
- น้องๆ ชำระค่าเทอมบางส่วน 15,000 บาทขึ้นไปจะมีคิวในการรับไอแพด 
- น้องๆ ที่จ่ายบางส่วนมาแล้ว 10,000 หนูสามารถ ชำระเพิ่ม 5,000 หรือ จะชำระค่าเทอมส่วนที่เหลือทั้งหมด เพื่อให้ผ่านเกณฑ์การรับไอแพด
- หากต้องการชำระเพิ่มเติม 5,000 บาท ต้องติดต่อชำระที่ ศูนย์รับสมัครนักศึกษา หากชำระค่าเทอมส่วนที่เหลือทั้งหมดสามารถชำระผ่าน APP UTCC PLUS ได้ค่ะ

- แต่สำหรับน้องๆที่ทำเรื่องกู้ กรอ. กยศ. ที่ชำระค่าเทอมบางส่วน 5,000 หรือ 10,000 บาท และกำลังทำเรื่องกู้อยู่ หากมีการกู้ผ่าน รัฐโอนเงินให้ ม. แล้วน้องก็จะมีคิวในการรับไอแพดเช่นกันค่ะ",100
it,ต้องการใช้ VPN,ขั้นตอนติดตั้งการใช้งาน vpn,100
registrar,ต้องการเข้า Email ของ ม.,"เข้าระบบ IT ของ ม. เช่น MS Teams, Email, Microsoft office, WiFi (UTCC-Mobile), ระบบทะเบียน, App UTCC+
Username : รหัสนักศึกษา@live4.utcc.ac.th
Password : Id ตามด้วยเลขบัตรประชาชน 13 หลัก
(ไอใหญ่ ดีเล็ก ตามด้วยเลขบัตรประชาชน)
1.เช็ค Email ได้ที่ https://mail.office365.com
2.เพิ่ม Email ในมือถือ/iPad ให้เลือก Exchange
ถ้าเข้าได้ให้ไปเปลี่ยน password ที่นี่ https://change.utcc.ac.th
1. ห้ามใช้รหัสเดิม
2. ยาวอย่างน้อย 8ตัว
**** รักษาให้ดี ห้ามให้รหัสกับบุคคลอื่น เพราะผูกไว้กับหลายระบบ
สอบถามระบบงานต่างๆ
1.สำนักบริการคอมพิวเตอร์
Line Official : @utccocs
2.สอบถามการใช้งาน Cisco WebEx
ศูนย์ความเป็นเลิศทางการสอน 
https://lin.ee/BsRrlmQ",100
it,เข้าห้องเรียน online ใน Webex Meeting อย่างไร และการใช้ Webex Meeting สำหรับนักศึกษา,"คลิกลิงก์ที่อาจารย์ผู้สอนจะส่งมาให้ 
หรือ พิมพ์เลข 9-10 ตัวที่ได้จาก อาจารย์ และคลิก Join",100
registrar,ข้อมูลการกู้ยืมเบื้องต้น,"ใครจะทำเรื่องกู้ยืม ให้ติดตามเพจนี้นะคะ 
กองสวัสดิการจะดูแลเกี่ยวกับการกู้ของม.ค่ะ
https://www.facebook.com/utccstudentwelfare
กำหนดการการกู้ยืม : https://bit.ly/3wZ3kPM
คุณสมบัติผู้กู้ยืม : https://www.studentloan.or.th/th/highlight/1595218254
ขั้นตอนจากทางกยศ. : https://www.youtube.com/watch?v=of_ImH4OgqE 
*ปีนี้จะเป็นการทำเรื่องกู้ยืมออนไลน์ สามารถไปโหลดแอพ""กยศ. Connect""ได้เลยค่ะ
https://www.studentloan.or.th/th/knowledgemedia/1592798646
วิธีลงทะเบียนขอรหัสผ่านเข้าระบบ DSL : https://www.studentloan.or.th/th/highlight/1595219558",100
student_activity,ก่อนไปปฏิบัติงานสหกิจศึกษา นักศึกษาจะต้องเตรียมตัวอย่างไร,งานสหกิจศึกษาจะจัดให้มีการอบรมเตรียมความพร้อมนักศึกษาสหกิจศึกษา ในหัวข้อที่จำเป็นต่างๆ เช่น กระบวนการสหกิจศึกษา การเขียนรายงานสหกิจศึกษา การพัฒนาบุคลิกภาพ เป็นต้น อีกทั้งยังจะมีการปฐมนิเทศให้กับนักศึกษาสหกิจศึกษา ก่อนออกไปปฏิบัติงานอีกด้วย,100
ipad,ระบบ Error/รวน/ยืนยันใบเสร็จ?,แจ้งปัญหาการใช้งาน/ระบบรวน https://checkoutipad.utcc.ac.th/std_error.php,100
it,ระบบ Error/รวน/ยืนยันใบเสร็จ?,แจ้งปัญหาการใช้งาน/ระบบรวน https://checkoutipad.utcc.ac.th/std_error.php,100
registrar,โปรโมชั่นสมัครเรียน,แจ้งโปรโมชั่นช่วงเวลานั้นๆ,100
ipad,เมื่อไรถึงจะได้รับsms ipad,"ชำระค่าเทอมเต็มจำนวน หรือ 15,000 บาท ขึ้นไป มกค จะส่ง SMS ให้เร็วๆนี้",100
it,ดาวน์โหลด Webex Meetingที่ไหน,ดาวน์โหลดได้ที่ https://www.webex.com/downloads.html,100
student_activity,การไปปฏิบัติงานสหกิจศึกษาต้องทำรายงานด้วยหรือไม่,ต้องทำรายงานสหกิจศึกษา 1 เล่ม คือ รายงานผลการปฏิบัติงานศึกษา หรือ รายงานโครงงานสหกิจศึกษา อย่างใดอย่างหนึ่ง,100
it,กรณีต้องการใช้ห้องปฏิบัติการคอมพิวเตอร์,ติดต่อได้ที่สำนักบริการคอมพิวเตอร์อาคาร 7 ชั้น 4 ฝั่งขวามือของอาคาร พร้อมแสดงบัตรนักศึกษา เปิดให้บริการวันจันทร์-เสาร์ เวลา 08.00-19.30น.,100
student_activity,นักศึกษาสามารถเลือกแผนการเรียนสหกิจศึกษาขั้นตอนแรกได้อย่างไร,ติดต่อที่คณะวิชา,100
student_activity,ในการกรอกข้อมูลในระบบสหกิจศึกษาต้องใช้ Username / password เหมือนที่ใช้เข้า wifi ของมหาวิทยาลัย ถ้าจำ Username / password ไม่ได้ต้องทำอย่างไร,ติดต่อที่สำนักบริการคอมพิวเตอร์,100
it,ลืมรหัสเข้า mail,ติดต่อสอบถามข้อมูลได้ที่สำนักบริการคอมพิวเตอร์,100
it,ใช้งานโปรแกรม Adobe ไม่ได้,ติดต่อสอบถามข้อมูลได้ที่สำนักบริการคอมพิวเตอร์,100
registrar,เปิดรับสมัครทุนเมื่อไหร่,ติดตามที่หน้าเว็บไซต์ได้เลยจ้า,100
student_activity,ทุนกีฬาเปิดรับสมัครช่วงไหน,"ทุนกีฬา เปิดรับสมัคร 2 รอบ 
รอบที่ 1 1-30 พฤศจิกายน 
เและสอบคัดเลือกภาคปฏิบัติ ในเดือน ธันวาคม 
รอบที่ 2 1-28 กุมภาพันธ์ 
เและสอบคัดเลือกภาคปฏิบัติ ในเดือน มีนาคม",100
ipad,จ่ายเทอมเท่าไร ถึงจะได้รับiPad,"เธอชำระค่าเทอมเต็มจำนวน หรือ ขั้นต่ำ 15,000 บาท ไม่รวมส่วนลดนะ ถึงจะมีสิทธิ์รับเครื่อง จากนั้นรอคิวรับ SMS จ่ะ
สอบถามชำระค่าเทอมที่ศูนย์รับสมัครนักศึกษาโทร 026976767-8 ค่ะ",100
it,ไม่สามารถเข้ากลุ่มเรียน ใน MS Teams,นักศึกษาติดต่ออาจารย์ผู้สอน ว่าได้ใส่ชื่อนักศึกษาเข้าไปในกลุ่มหรือไม่,100
it,เมื่อไรถึงจะได้รับ SMS?,"นักศึกษาที่ชำระค่าเทอมเต็มจำนวน หรือ 15,000 บาท ขึ้นไป มกค จะส่ง SMS ให้เร็วๆนี้ *ติดต่อชำระค่าเทอมที่ศูนย์รับสมัครนักศึกษา โทร. 026976767-8 หรือ @utcccare",100
ipad,"ทุน Gold,Silver,ปวส,ป.ตรีใบที่2 จ่ายค่าระบบเท่าไหร่?","นักศึกษาทุนต่างๆของมหาวิทยาลัย /วุฒิ ปวส-เทียบโอน / ปริญญาตรี ใบที่ 2 ต้องชำระค่าระบบ(ไอแพด) ก่อน 
หรือ โอนเงิน ธนาคารกสิกรไทย เลขบัญชี 045-1-15437-0 
ชื่อ มหาวิทยาลัยหอการค้าไทย กระแสรายวัน
ดูตารางค่าระบบ : https://checkoutipad.utcc.ac.th/images/ipad_cliam.jpg",100
registrar,นักศึกษาต้องการทำเรื่องย้ายคณะ,นักศึกษาสมัครเรียนใหม่สามารถติดต่อศูนย์รับสมัครนักศึกษาได้เลยค่ะ,100
registrar,นักศึกษาต้องการทำเรื่องผ่อนผันค่าเทอม,นักศึกษาสมัครเรียนใหม่สามารถติดต่อศูนย์รับสมัครนักศึกษาได้เลยค่ะ ส่วนนักศึกษาเก่าให้ติดต่อทำเรื่องที่กองการเงินนะคะ,100
it,ย้ายคณะ / สาขา,นำเอกสารการย้ายคณะ/สาขา มาติดต่อที่สำนักบริการคอมพิวเตอร์ อาคาร 7 ชั้น 4,100
student_activity,การไปปฏิบัติงานสหกิจศึกษาต้องไปฝึกในชั้นปีใหน,ในปัจจุบันจะไปปฏิบัติงานสหกิจศึกษาในชั้นปีที่ 4 ภาคต้นหรือภาคปลาย ตามที่คณะวิชากำหนด,100
registrar,ต้้องการแก้ไขข้อมูลนักศึกษาค่ะ,"เบื้องต้นข้อมูลบางอย่าง สามารถแก้ไขในระบบทะเบียนได้นะค่ะ
เช่น ที่อยู่ปัจจุบัน เบอร์โทรศัพท์ E-mail
เข้าระบบทะเบียน ผ่านเว็บ https://reg5.utcc.ac.th/registrar/login.asp?avs185431352=21 เลือก ประวัติ > แก้ไขประวัติ ค่ะ
แต่สำหรับนักศึกษา ที่ชื่อผิด/เชื้อชาติ/ศาสนาไม่ถูกต้อง ต้องเข้าไปแก้ไขข้อมูลที่ลิงค์ค่ะ
- เข้าลิงค์ผ่าน google chome ลิงค์นี้ https://reginfo.utcc.ac.th/onlinerequest
- เลือก ขอแก้ไขชื่อ - สกุล / ข้อมูลส่วนตัว (กรอกข้อมูลที่ต้องการแก้ไขได้เลยค่ะ)
หมายเหตุ ยกเว้นเปลี่ยนชื่อ-สกุล (สำเนาใบเปลี่ยนชื่อ - สกุล เซ็นชื่อกำกับเอกสาร) นำมาส่งที่มหาวิทยาลัยฯ ติดต่อสำนักทะเบียนฯ อาคาร 1ชั้น 2 เวลาทำการ จ-ศ เวลา 09.00-16.00 น.",100
student_activity,มีชมรมกีฬาอะไรบ้าง,ปัจจุบัน มี 13 ชมรมกีฬา,100
registrar,นักศึกษา 64 เทอม 2 เปิดรับสมัครเมื่อไหร่/ปิดรับสมัคร,เปิดรับสมัครแล้วสามารถให้นักศึกษาติดต่อศูนย์รับสมัครได้เลยค่ะ,100
registrar,นักศึกษา 65 เปิดรับสมัครเมื่อไหร่ / ปิดรับสมัคร,เปิดรับสมัครแล้วสามารถให้นักศึกษาติดต่อศูนย์รับสมัครได้เลยค่ะ,100
student_activity,ระบบการประเมินผลวิชาสหกิจศึกษา เป็นแบบไหน,"ผลการศึกษาของสหกิจศึกษาคือ ผ่าน หรือ ไม่ผ่าน การประเมินผลจะเป็นการให้ระดับคะแนนแทนด้วยตัวอักษร คือ สัญลักษณ์
S (Satisfactory - พอใจ/ผ่าน) และ U (Unsatisfactory - ไม่พอใจ/ไม่ผ่าน)",100
it,ต้องการพิมพ์งาน,พิมพ์งานได้ที่ อาคาร 7 ชั้น 4 ฝั่งขวามือของอาคาร ต้องนำบัตรนักศึกษามาติดต่อด้วยทุกครั้ง / นำกระดาษมาเอง เปิดให้บริการวันจันทร์-เสาร์ เวลา 08.00-19.30น.,100
student_activity,ทรานสคริปที่จะใช้แนบในระบบสหกิจศึกษาจะใช้ภาษาไทยหรือภาษาอังกฤษ,ภาษาไทยหรือภาษาอังกฤษก็ได้ หรือตามนโยบายของบริษัทที่นักศึกษาไปสมัคร,100
it,มหาลัยใช้บัญชี google ได้ไหมค่ะ,ไม่ได้ค่ะ นักศึกษาต้องใช้ E-mail ที่มหาวิทยาลัยกำหนดให้ค่ะ,100
student_activity,ฟิตเนสนักศึกษา/ห้องกายบริหาร บุคคลภายนอกสามารถใช้บริการได้มั้ย,ไม่ได้ทุกกรณี,100
it,เปลี่ยน Profile ที่ แสดง รหัสนักศึกษา ชื่อ-นามสกุลอย่างไร ใน Webex,"ระบบ Android:  1. แตะ 3 จุด ... มุมบนขวา  2.Settings 3.Account 4. Display name
ระบบ window: 1. sign in เข้าระบบ 2. มุมบนขวามือแตะลูกศรลง ใครชื่อ เลือก My Profile 3.Edit My Profile 4. Display name
ระบบ ios: 1.แตะรูปฟันเฟื้อง 2.Settings 3. My Account 4. Display name",100
it,ลงทะเบียน ใช้ Webex Meeting อย่างไร,"ระบบ iso และ ระบบ adroid
1. แตะ Sign up
2. Step One : รหัสนักศึกษา@utcc.ac.th แตะปุ่ม Next
3. Step Two: เปิด อีเมล์@utcc.ac.th ของนักศึกษา เอารหัส 6 ตัวจาก ใส่ลงในช่อง Enter Berification Code
4. Step Thee: ใส่ กรอกข้อมูลส่วนตัว และตั้งรหัสผ่านตามเงื่อนไขที่ระบบกำหนด",100
student_activity,ระยะเวลาในการไปปฏิบัติงานสหกิจศึกษาจำนวนเท่าไหร่,ระยะเวลาปฏิบัติงาน 1 ภาคเรียน (16 สัปดาห์) ไม่ได้คิดเป็นชั่วโมง,100
student_activity,คืนอุปกรณ์ช้ากว่ากำหนดมีค่าปรับมั้ย,วันละ 5 บาท/ชิ้น,100
student_activity,วิชาสหกิจศึกษามีจำนวน หน่วยกิตเท่าไหร่,วิชาสหกิจศึกษามีค่าเท่ากับ 6 หน่วยกิต,100
registrar,เข้า APP UTCC PLUS อย่างไร,"วิธีเข้าระบบสำนักทะเบียน (ดูตารางสอนฯ ภาระค่าใช้จ่าย)
1. โหลดแอป UTCC PLUS
2. เข้าระบบ โดย ชื่อผู้ใช้งาน เป็นรหัสนักศึกษา
3. รหัสผ่าน I(ไอใหญ่) d(ดีเล็ก) ตามด้วยรหัสบัตรประชาชน
4. หรือจะดูผ่านเว็บนี้ก็ได้ค่ะ ชื่อผู้ใช้ กับรหัสผ่าน เดียวกัน
https://reg5.utcc.ac.th/registrar/login.asp?avs684788603=1
*หมายเหตุ : หากเข้าผ่านแอปไม่ได้ ลองเข้าผ่านเว็ปก่อนนะคะ",100
student_activity,สามารถติดตามข้อมูล ข่าวสาร สหกิจศึกษา ม.หอการค้าไทย ได้ที่ไหน,"เว๊ปไซด์สหกิจศึกษา 
FB : สหกิจศึกษา มกค.",100
registrar,ศูนย์รับสมัครเปิดวันไหนบ้าง,ศูนย์รับสมัครนักศึกษาเปิดบริการทุกวันค่ะ,100
registrar,ที่ ม. มีทุนอะไรบ้างค่ะ,"สนใจทุนประเภทต่างๆ 
เข้าลิงค์ https://www.utcc.ac.th/undergraduate-info/#scholarship
กดเลือกทุนการศึกษา
สามารถดูคุณสมบัติ เงื่อนไข ผู้สมัคร และรายละเอียดของทุนการศึกษาที่ได้รับ ได้เลยค่ะ",100
it,Change Virtual Background ไม่ได้ (เมนูคำสั่งเป็นสีเทา) ใน Webex Meeting,สเปค ต่ำไม่รองรับ ลิงก์สำหรับตรวจสอบ สเปค และ ระบบปฏิบัติการที่ https://help.webex.com/en-US/article/80jduab/Use-a-Virtual-Background-in-the-Cisco-Webex-Meetings-Suite#id_138414,100
ipad,รับเครื่องแล้วตั้งค่าไม่ได้?,สอบถามการตั้งค่า/พบปัญหาการตั้งค่า iPad ติดต่อ https://www.facebook.com/utccipad,100
it,รับเครื่องแล้วตั้งค่าไม่ได้?,สอบถามการตั้งค่า/พบปัญหาการตั้งค่า iPad ติดต่อ https://www.facebook.com/utccipad,100
registrar,นักศึกษาสมารถชำระค่าเทอมได้ทางช่องทางไหน,สามารถชำระผ่าน APP UTCC PLUS หรือชำระผ่านระบบบริการนักศึกษา,100
student_activity,ช่วงไหนมีกิจกรรมกีฬาอะไรบ้าง และช่วงไหน,สามารถติดตามที่ได้ทาง เพจ.FB : กองการกีฬามหาวิทยาลัยหอการค้าไทย หรือชมรมกีฬาที่เราสังกัด,100
ipad,แก้ไขที่อยู่?,สำหรับนักศึกษาที่ต้องการแก้ไขหรือเปลี่ยนแปลงข้อมูล ช่องทางการติดต่อสำนักทะเบียนและประมวลผลได้ที่ https://reginfo.utcc.ac.th/onlinerequest,100
it,แก้ไขที่อยู่?,สำหรับนักศึกษาที่ต้องการแก้ไขหรือเปลี่ยนแปลงข้อมูล ช่องทางการติดต่อสำนักทะเบียนและประมวลผลได้ที่ https://reginfo.utcc.ac.th/onlinerequest,100
it,ต้องการเพิ่ม mail ใน Mobile Device,ให้เลือก Icon Exchange หรือ Office 365 และติดตั้งตามขั้นตอนในคู่มือ,100
